seed,status,score,bucket,reason,elapsed_ms,expanded_nodes,unique_states
8188,unknown,,unknown,limits_reached,20107.748,15615,137124
8189,unknown,,unknown,limits_reached,12383.807,32891,34186
8190,unknown,,unknown,limits_reached,20017.533,11306,132552
8191,unknown,,unknown,limits_reached,20002.854,15975,111365
8192,unknown,,unknown,limits_reached,20007.888,16295,157756
8193,unknown,,unknown,limits_reached,20003.677,22067,100008
8194,unknown,,unknown,limits_reached,13317.274,16242,127906
8195,unknown,,unknown,limits_reached,20003.816,23405,87329
8196,unknown,,unknown,limits_reached,20009.080,21711,108395
8197,unknown,,unknown,limits_reached,20076.226,20302,131631
8198,unknown,,unknown,limits_reached,20018.276,11875,145529
8199,unknown,,unknown,limits_reached,20006.936,11941,115205
8200,unknown,,unknown,limits_reached,20004.004,20040,134768
8201,unknown,,unknown,limits_reached,20002.285,16822,126585
8202,unknown,,unknown,limits_reached,20002.145,34281,111039
8203,unknown,,unknown,limits_reached,20002.616,17368,123880
8204,unknown,,unknown,limits_reached,20028.602,15221,140605
8205,unknown,,unknown,limits_reached,13034.565,16411,141665
8206,unknown,,unknown,limits_reached,20002.811,12687,143960
8207,unknown,,unknown,limits_reached,20005.179,21190,126053
8208,solved,142863.371000,Medium,,2479.656,1301,2963
8209,unknown,,unknown,limits_reached,20010.374,11000,130219
8210,unknown,,unknown,limits_reached,20010.591,18471,132019
8211,solved,137692.062000,Medium,,2778.654,1003,1569
8212,unknown,,unknown,limits_reached,20004.315,27258,77117
8213,solved,185006.563000,Hard,,5866.199,5623,7085
8214,unknown,,unknown,limits_reached,20001.476,20945,153600
8215,unknown,,unknown,limits_reached,20018.395,16876,150935
8216,unknown,,unknown,limits_reached,20002.749,13792,112285
8217,unknown,,unknown,limits_reached,20007.894,15021,140575
8218,unknown,,unknown,limits_reached,20005.686,30519,94573
8219,unknown,,unknown,limits_reached,20005.386,17964,136624
8220,unknown,,unknown,limits_reached,20029.270,23152,73996
8221,unknown,,unknown,limits_reached,13109.618,21657,99838
8222,unknown,,unknown,limits_reached,20003.435,26401,86565
8223,unknown,,unknown,limits_reached,20044.192,17048,132322
8224,unknown,,unknown,limits_reached,20001.743,23585,106301
8225,unknown,,unknown,limits_reached,20003.087,14014,132255
8226,unknown,,unknown,limits_reached,20003.638,14272,129067
8227,solved,145413.144000,Hard,,1542.415,867,2090
8228,unknown,,unknown,limits_reached,13687.693,26758,67472
8229,unknown,,unknown,limits_reached,14395.313,26224,78673
8230,unknown,,unknown,limits_reached,20002.332,22941,109617
8231,unknown,,unknown,limits_reached,20005.587,14696,123680
8232,unknown,,unknown,limits_reached,20003.113,15352,131398
8233,solved,146777.552000,Hard,,3594.688,3163,5842
8234,solved,131325.852000,Easy,,3275.752,1533,5243
8235,unknown,,unknown,limits_reached,20007.263,13510,117227
8236,unknown,,unknown,limits_reached,20003.364,28309,109725
8237,unknown,,unknown,limits_reached,20002.997,16395,115525
8238,unknown,,unknown,limits_reached,20005.214,28333,122354
8239,solved,130375.793000,Easy,,2326.207,1058,1982
8240,unknown,,unknown,limits_reached,20001.708,19622,116699
8241,unknown,,unknown,limits_reached,20015.535,24320,108204
8242,unknown,,unknown,limits_reached,20001.825,23899,95989
8243,unknown,,unknown,limits_reached,20000.647,35591,96900
8244,unknown,,unknown,limits_reached,20006.186,15620,121056
8245,unknown,,unknown,limits_reached,20002.066,14562,147534
8246,unknown,,unknown,limits_reached,20005.297,11570,134278
8247,solved,135149.231000,Easy,,728.977,474,1222
8248,unknown,,unknown,limits_reached,20090.241,13865,119024
8249,unknown,,unknown,limits_reached,7239.321,12704,79173
8250,unknown,,unknown,limits_reached,13423.122,17936,109031
8251,unknown,,unknown,limits_reached,20012.405,14482,112094
8252,unknown,,unknown,limits_reached,7032.524,15721,89694
8253,unknown,,unknown,limits_reached,14014.155,7658,106720
8254,unknown,,unknown,limits_reached,20005.597,23918,96773
8255,unknown,,unknown,limits_reached,20003.719,25594,68815
8256,unknown,,unknown,limits_reached,11568.389,14931,97853
8257,unknown,,unknown,limits_reached,20001.204,23122,108074
8258,unknown,,unknown,limits_reached,20004.508,17731,112385
8259,solved,143697.412000,Medium,,2330.497,1925,2978
8260,unknown,,unknown,limits_reached,20002.154,22826,109725
8261,unknown,,unknown,limits_reached,20001.344,22228,119575
8262,solved,133774.792000,Easy,,1550.306,832,3342
8263,unknown,,unknown,limits_reached,20006.594,19846,116716
8264,unknown,,unknown,limits_reached,20006.475,16596,144970
8265,unknown,,unknown,limits_reached,20006.680,16806,111173
8266,unknown,,unknown,limits_reached,20001.784,14603,138853
8267,unknown,,unknown,limits_reached,20196.487,17897,135870
8268,solved,143988.188000,Hard,,3762.353,1837,5385
8269,unknown,,unknown,limits_reached,20003.286,22374,147684
8270,solved,144727.159000,Hard,,4360.029,2077,3711
8271,unknown,,unknown,limits_reached,20004.376,16123,108321
8272,unknown,,unknown,limits_reached,20016.614,15930,135046
8273,unknown,,unknown,limits_reached,19013.459,23034,97744
8274,unknown,,unknown,limits_reached,20003.939,17583,113252
